s;w
1109;167
1110;126
1111;139
1112;128
1113;143
1114;127
1115;139
1116;133
1117;125
1118;171
1119;143
1120;127
1121;156
1122;148
1123;148
1124;141
1125;170
1126;156
1127;125
1128;171
1129;141
1130;145
1131;144
1132;159
1133;181
1134;169
1135;136
1136;130
1137;204
1138;131
1139;151
1140;161
1141;155
1142;177
1143;151
1144;145
1145;128
1146;178
1147;133
1148;186
1149;129
1150;114
1151;145
1152;162
1153;148
1154;155
1155;158
1156;132
1157;98
1158;146
1159;130
1160;144
1161;145
1162;172
1163;120
1164;165
1165;137
1166;148
1167;172
1168;180
1169;167
1170;172
1171;131
1172;131
1173;150
1174;139
1175;156
1176;151
1177;168
1178;138
1179;107
1180;139
1181;124
1182;173
1183;144
1184;199
1185;127
1186;145
1187;145
1188;141
1189;137
1190;147
1191;157
1192;128
1193;136
1194;136
1195;138
1196;179
1197;122
1198;214
1199;168
1200;152
1201;126
1202;126
1203;154
1204;123
1205;110
1206;156
1207;130
1208;148
1209;150
1210;165
1211;146
1212;206
1213;113
1214;144
1215;132
1216;189
1217;144
1218;167
1219;178
1220;135
1221;168
1222;163
1223;183
1224;143
1225;168
1226;135
1227;135
1228;110
1229;147
1230;84
1231;0
1232;0
1233;0
1234;0
1235;0
1236;2
1237;0
1238;0
1239;0
1240;44
1241;86
1242;86
1243;175
1244;175
1245;210
1246;136
1247;136
1248;172
1249;168
1250;167
1251;233
1252;249
1253;249
1254;178
1255;211
1256;179
1257;144
1258;175
1259;132
1260;190
1261;141
1262;201
1263;155
1264;138
1265;171
1266;129
1267;171
1268;146
1269;147
1270;171
1271;152
1272;178
1273;125
1274;159
1275;123
1276;167
1277;155
1278;187
1279;139
1280;158
1281;177
1282;138
1283;159
1284;159
1285;139
1286;150
1287;134
1288;179
1289;121
1290;149
1291;194
1292;174
1293;143
1294;125
1295;162
1296;119
1297;132
1298;201
1299;146
1300;126
1301;171
1302;151
1303;150
1304;164
1305;167
1306;174
1307;137
1308;239
1309;161
1310;143
1311;169
1312;182
1313;150
1314;150
1315;163
1316;149
1317;159
1318;151
1319;186
1320;119
1321;133
1322;143
1323;116
1324;176
1325;90
1326;112
1327;77
1328;173
1329;100
1330;109
1331;173
1332;138
1333;166
1334;137
1335;137
1336;165
1337;134
1338;135
1339;107
1340;170
1341;170
1342;163
1343;187
1344;155
1345;155
1346;155
1347;170
1348;176
1349;176
1350;142
1351;145
1352;161
1353;134
1354;169
1355;166
1356;166
1357;151
1358;173
1359;136
1360;186
1361;116
1362;137
1363;162
1364;154
1365;145
1366;143
1367;121
1368;172
1369;82
1370;176
1371;159
1372;162
1373;119
1374;89
1375;91
1376;123
1377;167
1378;142
1379;140
1380;138
1381;130
1382;213
1383;142
1384;153
1385;157
1386;136
1387;208
1388;134
1389;194
1390;116
1391;106
1392;205
1393;136
1394;203
1395;142
1396;138
1397;148
1398;200
1399;115
1400;110
1401;179
1402;176
1403;171
1404;201
1405;150
1406;151
1407;183
1408;150
1409;139
1410;164
1411;144
1412;183
1413;154
1414;158
1415;159
1416;146
1417;147
1418;173
1419;170
1420;162
1421;176
1422;150
1423;159
1424;159
1425;161
1426;154
1427;230
1428;142
1429;158
1430;146
1431;95
1432;147
1433;115
1434;115
1435;131
1436;149
1437;149
1438;130
1439;132
1440;125
1441;130
1442;148
1443;141
1444;133
1445;139
1446;150
1447;164
1448;161
1449;148
1450;156
1451;143
1452;128
1453;160
1454;146
1455;153
1456;141
1457;143
1458;164
1459;145
1460;173
1461;171
1462;157
1463;136
1464;175
1465;135
1466;135
1467;130
1468;134
1469;138
1470;154
1471;135
1472;118
1473;147
1474;136
1475;153
1476;153
1477;190
1478;150
1479;143
1480;189
1481;157
1482;153
1483;153
1484;151
1485;164
1486;157
1487;176
1488;138
1489;198
1490;153
1491;169
1492;169
1493;175
1494;154
1495;193
1496;214
1497;134
1498;173
1499;180
1500;148
1501;169
1502;178
1503;190
1504;168
1505;177
1506;153
1507;166
1508;197
1509;171
1510;188
1511;175
1512;190
1513;180
1514;184
1515;191
1516;169
1517;144
1518;158
1519;192
1520;177
1521;184
1522;200
1523;165
1524;160
1525;148
1526;221
1527;184
1528;134
1529;181
1530;158
1531;150
1532;182
1533;130
1534;183
1535;135
1536;135
1537;163
1538;163
1539;140
1540;159
1541;190
1542;125
1543;199
1544;131
1545;131
1546;116
1547;167
1548;105
1549;132
1550;156
1551;135
1552;189
1553;147
1554;172
1555;136
1556;133
1557;138
1558;165
1559;165
1560;165
1561;127
1562;190
1563;161
1564;229
1565;173
1566;166
1567;178
1568;192
1569;172
1570;213
1571;200
1572;192
1573;197
1574;194
1575;192
1576;201
1577;189
1578;188
1579;195
1580;188
1581;188
1582;166
1583;160
1584;198
1585;174
1586;193
1587;119
1588;119
1589;170
1590;157
1591;177
1592;177
1593;132
1594;153
1595;154
1596;165
1597;155
1598;187
1599;137
1600;174
1601;115
1602;86
1603;75
1604;83
1605;133
1606;161
1607;120
1608;104
1609;92
1610;49
1611;91
1612;174
1613;151
1614;102
1615;82
1616;74
1617;67
1618;69
1619;36
1620;29
1621;16
1622;6
1623;20
1624;53
1625;23
1626;44
1627;40
1628;43
1629;52
1630;52
1631;71
1632;144
1633;133
1634;132
1635;111
1636;135
1637;111
1638;108
1639;131
1640;131
1641;130
1642;157
1643;144
1644;144
1645;134
1646;180
1647;160
1648;130
1649;130
1650;114
1651;83
1652;88
1653;14
1654;48
1655;28
1656;31
1657;73
1658;81
1659;85
1660;72
1661;93
1662;59
1663;71
1664;142
1665;187
1666;148
1667;144
1668;144
1669;177
1670;177
1671;177
1672;150
1673;117
1674;121
1675;163
1676;119
1677;137
1678;116
1679;106
1680;125
1681;131
1682;119
1683;95
1684;133
1685;121
1686;133
1687;164
1688;127
1689;109
1690;194
1691;140
1692;125
1693;157
1694;139
1695;126
1696;98
1697;161
1698;131
1699;77
1700;68
1701;88
1702;117
1703;106
1704;106
1705;118
1706;100
1707;112
1708;128
1709;131
1710;110
1711;110
1712;137
1713;116
1714;148
1715;131
1716;154
1717;118
1718;149
1719;122
1720;137
1721;135
1722;145
1723;126
1724;197
1725;152
1726;144
1727;148
1728;157
1729;148
1730;172
1731;140
1732;139
1733;139
1734;136
1735;123
1736;153
1737;138
1738;111
1739;106
1740;129
1741;113
1742;121
1743;113
1744;106
1745;81
1746;80
1747;75
1748;90
1749;97
1750;148
1751;146
1752;121
1753;113
1754;97
1755;118
1756;137
1757;137
1758;183
1759;152
1760;152
1761;127
1762;159
1763;170
1764;140
1765;181
1766;121
1767;112
1768;122
1769;138
1770;126
1771;151
1772;119
1773;154
1774;145
1775;151
1776;162
1777;151
1778;139
1779;153
1780;117
1781;117
1782;120
1783;161
1784;152
1785;127
1786;118
1787;109
1788;132
1789;156
1790;151
1791;129
1792;215
1793;129
1794;189
1795;147
1796;157
1797;161
1798;128
1799;168
1800;168
1801;130
1802;167
1803;132
1804;135
1805;123
1806;115
1807;152
1808;84
1809;106
1810;138
1811;137
1812;186
1813;119
1814;106
1815;171
1816;165
1817;113
1818;132
1819;160
1820;180
1821;120
1822;132
1823;174
1824;143
1825;156
1826;138
1827;124
1828;152
1829;127
1830;161
1831;127
1832;137
1833;137
1834;133
1835;114
1836;167
1837;147
1838;90
1839;165
1840;178
1841;152
1842;131
1843;122
1844;131
1845;134
1846;132
1847;143
1848;145
1849;153
1850;145
1851;165
1852;185
1853;177
1854;177
1855;156
1856;143
1857;133
1858;159
1859;170
1860;146
1861;146
1862;160
1863;141
1864;142
1865;99
1866;158
1867;132
1868;167
1869;171
1870;156
1871;156
1872;142
1873;147
1874;147
1875;150
1876;160
1877;161
1878;144
1879;162
1880;162
1881;225
1882;160
1883;103
1884;185
1885;145
1886;134
1887;99
1888;121
1889;135
1890;115
1891;137
1892;108
1893;108
1894;116
1895;150
1896;150
1897;181
1898;137
1899;172
1900;193
1901;150
1902;125
